03-04-2023_11-03-21
Title: seah sok eng hearing aid 
Right Hearing Aid Serial Number: NEE5027
Left Hearing Aid Serial Number: None
Data rate: 50
Available sensors: Accelerometer
Accelerometer G: 1
Notes: 

11:03:21.726 - Walking
11:03:24.859 - motion sensor: [x: 0.6416015625, y: 0.09375, z: 0.6494140625] [x: 0.658203125, y: 0.087890625, z: 0.6875] [x: 0.6923828125, y: 0.083984375, z: 0.7333984375] [x: 0.66015625, y: 0.076171875, z: 0.7470703125]
11:03:24.937 - motion sensor: [x: 0.607421875, y: 0.0703125, z: 0.7529296875] [x: 0.6748046875, y: 0.0859375, z: 0.7880859375] [x: 0.767578125, y: 0.107421875, z: 0.7939453125] [x: 0.8642578125, y: 0.130859375, z: 0.7802734375]
11:03:25.016 - motion sensor: [x: 0.982421875, y: 0.146484375, z: 0.7666015625] [x: 0.9208984375, y: 0.080078125, z: 0.685546875] [x: 0.8447265625, y: 0.01953125, z: 0.6240234375] [x: 0.8505859375, y: -0.0341796875, z: 0.6142578125]
11:03:25.098 - motion sensor: [x: 0.8212890625, y: -0.0634765625, z: 0.5927734375] [x: 0.7626953125, y: -0.0595703125, z: 0.564453125] [x: 0.7685546875, y: -0.0283203125, z: 0.55078125] [x: 0.8466796875, y: 0.0205078125, z: 0.5537109375]
11:03:25.178 - motion sensor: [x: 0.83203125, y: 0.0302734375, z: 0.544921875] [x: 0.728515625, y: 0.0263671875, z: 0.51953125] [x: 0.6708984375, y: 0.02734375, z: 0.5263671875] [x: 0.6533203125, y: 0.041015625, z: 0.53515625]
11:03:25.258 - motion sensor: [x: 0.6435546875, y: 0.0634765625, z: 0.548828125] [x: 0.646484375, y: 0.0849609375, z: 0.552734375] [x: 0.6689453125, y: 0.09765625, z: 0.5439453125] [x: 0.693359375, y: 0.0869140625, z: 0.5322265625]
11:03:25.338 - motion sensor: [x: 0.7080078125, y: 0.0576171875, z: 0.537109375] [x: 0.6953125, y: 0.0322265625, z: 0.5458984375] [x: 0.6923828125, y: 0.009765625, z: 0.564453125] [x: 0.6953125, y: -0.0107421875, z: 0.595703125]
11:03:25.458 - motion sensor: [x: 0.763671875, y: -0.0185546875, z: 0.6416015625] [x: 0.787109375, y: -0.0341796875, z: 0.6357421875] [x: 0.806640625, y: -0.0380859375, z: 0.6318359375] [x: 0.8623046875, y: -0.033203125, z: 0.650390625]
11:03:25.497 - motion sensor: [x: 0.947265625, y: -0.01953125, z: 0.7021484375] [x: 0.970703125, y: 0.0126953125, z: 0.7705078125] [x: 1, y: 0.0576171875, z: 0.81640625] [x: 0.9384765625, y: 0.0869140625, z: 0.8203125]
11:03:25.617 - motion sensor: [x: 0.7275390625, y: 0.109375, z: 0.775390625] [x: 0.6513671875, y: 0.126953125, z: 0.7666015625] [x: 0.626953125, y: 0.1298828125, z: 0.7353515625] [x: 0.5927734375, y: 0.1220703125, z: 0.6787109375]
11:03:25.658 - motion sensor: [x: 0.6142578125, y: 0.1064453125, z: 0.6357421875] [x: 0.65234375, y: 0.0908203125, z: 0.5966796875] [x: 0.6611328125, y: 0.07421875, z: 0.5556640625] [x: 0.630859375, y: 0.0576171875, z: 0.529296875]
11:03:25.736 - motion sensor: [x: 0.6171875, y: 0.0576171875, z: 0.525390625] [x: 0.6220703125, y: 0.0634765625, z: 0.533203125] [x: 0.638671875, y: 0.0712890625, z: 0.55078125] [x: 0.65625, y: 0.076171875, z: 0.576171875]
11:03:25.818 - motion sensor: [x: 0.662109375, y: 0.0810546875, z: 0.5966796875] [x: 0.6787109375, y: 0.076171875, z: 0.6181640625] [x: 0.68359375, y: 0.0703125, z: 0.6259765625] [x: 0.662109375, y: 0.0732421875, z: 0.6171875]
