n_samples,acc_pa,acc_ml,acc_si,gyr_pa,gyr_ml,gyr_si,side
3615,0.7567678777970541,-0.5858403051704846,-10.629688932125173,-4.036881333048219,-22.338019541643686,-25.108032178903557,left
3616,0.6265993619059174,-0.7303585010050659,-10.933451020702709,-4.024187660470748,-25.447691956457824,-23.596747088730744,left
3617,0.5062163288431321,-0.8723267263847492,-11.119088120151352,-3.5423760683033074,-28.54089771877524,-22.029327175794645,left
3618,0.5290630746516474,-0.931681028011646,-10.982310588621823,-3.4840660272348947,-28.655085388409034,-20.233297245860644,left
3619,0.5516925477511636,-0.9450293804278286,-10.182565829912576,-4.439527487535255,-24.739150380647533,-18.977810768825176,left
3620,0.7060487783765317,-0.8976117407509527,-9.78486232363139,-4.880538681330387,-16.541469535185236,-17.133000968176457,left
3621,0.6041880916805384,-0.8756617083250055,-9.393694247855462,-6.491012533964249,-7.5831753848729955,-15.655578896163115,left
3622,0.5666911562664056,-0.8466374232229704,-8.908862087743476,-7.586162305105445,-1.6907361513854073,-15.394609133468746,left
3623,0.32199308233871937,-0.8953653185236906,-8.993940529609263,-7.401007663788336,1.3253712513344733,-13.9458594168514,left
3624,0.009812166700718716,-0.9165035834147555,-9.225444510862394,-7.54914125416092,0.215830671593409,-14.113100394631129,left
3625,-0.10877500802444295,-0.9017816434700914,-9.199492913967989,-8.980490977618024,-1.5781312934764045,-15.292253995514178,left
3626,-0.17516431470986404,-0.9756086433624229,-9.179925030978941,-10.67500655406554,-2.702124880948727,-15.16344061576315,left
3627,-0.20517229684053673,-1.0038517496002237,-9.187582177273015,-11.21994453312397,-3.7478768760969707,-14.903770097331538,left
3628,-0.20284792309998112,-0.963468474679414,-9.427731819984126,-10.614168580773741,-3.80588753075474,-14.077253421582657,left
3629,-0.43161022147718775,-0.8767514950532056,-9.427269358192712,-10.277088666175295,-3.346424440409538,-13.108119216476013,left
3630,-0.5991999893196445,-0.8305241534887231,-9.770825288618267,-10.166070011448422,-2.926505242164394,-11.978226689627872,left
3631,-0.6592354995774579,-0.8200287359011718,-10.007909141019027,-11.459225874146513,-2.7855582143298268,-11.823857103177845,left
3632,-0.5107029914984977,-0.7295786709557905,-10.780937969165862,-12.515591858397611,-1.0584614259976353,-11.492468577916991,left
3633,-0.6564414999845631,-0.6638484380551856,-10.81860721368171,-14.613645709745676,1.4668992052424432,-11.654747721868123,left
3634,-0.5245448085184048,-0.5088548554398655,-11.721231899498495,-12.175003527619115,3.886074023946414,-13.192832809955519,left
